frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
3162.2776601683795,19869.176531592202,1.2999989261535382e-09,5.999216368705099e-13,6.615190098296938e-08,2.404342944033097e-09,6.745189990912292e-08,2.4049428656699675e-09,0.0009629621675211395,4.4438639768185917e-07,0.04900140813553287,0.00178099477335785,0.04996437030305401,0.0017814391597555316,0.09296437030305402,0.001795506536739899
4216.965034285822,26495.97274431474,1.29999939612561e-09,4.4987915894315085e-13,6.64715611682319e-08,2.0745493645001753e-09,6.777156056435751e-08,2.0749992436591185e-09,0.0009629625156486,3.33243821439371e-07,0.04923819345794956,0.001536703232963093,0.05020115597359816,0.0015370364767845323,0.09320115597359815,0.001555795625487507
5623.413251903491,35332.94752055899,1.2999996604145318e-09,3.373623654875269e-13,6.674640534018825e-08,1.7942608923224446e-09,6.804640500060278e-08,1.7945982546879322e-09,0.0009629627114181718,2.498980485092792e-07,0.04944178173347278,0.0013290821424610702,0.05040474444489095,0.0013293320405095795,0.09340474444489094,0.0013543477673541354
7498.942093324558,47117.24278016739,1.299999809036443e-09,2.5298633283435503e-13,6.6985594739561e-08,1.5540850085183614e-09,6.828559454859743e-08,1.5543379948511957e-09,0.0009629628215084763,1.8739728358100374e-07,0.04961895906634148,0.0011511740803839714,0.050581921887849955,0.0011513614776675525,0.09358192188784994,0.001184720485555911
10000.0,62831.853071795864,1.2999998926131074e-09,1.8971309082892266e-13,6.719391694535842e-08,1.346348649328446e-09,6.849391683797153e-08,1.346538362419275e-09,0.0009629628834171166,1.4052821542883162e-07,0.04977327181137661,0.000997295295798849,0.05073623469479373,0.0009974358240142777,0.09373623469479372,0.0010419207759891091
13335.21432163324,83787.62269377676,1.2999999396118496e-09,1.4226479243959292e-13,6.737462065922112e-08,1.1660985432465775e-09,6.867462059883297e-08,1.166240808039017e-09,0.0009629629182309997,1.0538132773303179e-07,0.04990712641423787,0.0008637766987011686,0.050870089332468865,0.0008638820800289015,0.09387008933246886,0.0009232037168960955
17782.794100389227,111732.59061216541,1.299999966041228e-09,1.0668356267818023e-13,6.7531038895375e-08,1.009867011043915e-09,6.883103886141622e-08,1.0099736946065933e-09,0.0009629629378083172,7.902486124309648e-08,0.050022991774351856,0.0007480496378103075,0.05098595471216017,0.0007481286626715507,0.09398595471216017,0.0008272353368249638
23713.737056616552,148997.8042524532,1.2999999809035724e-09,8.000139374200765e-14,6.766646388500336e-08,8.745736038200603e-10,6.896646386590693e-08,8.746536052138023e-10,0.0009629629488174611,5.926029166074641e-08,0.05012330658148397,0.0006478322991259706,0.05108626953030143,0.0006478915594176314,0.09408626953030143,0.0007533820048283683
31622.776601683792,198691.765315922,1.2999999892612876e-09,5.999258521964014e-14,6.778374636265285e-08,7.574038622647442e-10,6.908374635191414e-08,7.574638548499639e-10,0.0009629629550083613,4.443895201454826e-08,0.05021018249085397,0.0005610398979738846,0.05117314544586232,0.0005610843369258992,0.09417314544586232,0.0007017581067695719
42169.65034285822,264959.7274431474,1.299999993961178e-09,4.498809365658775e-14,6.788531047491852e-08,6.559229063055066e-10,6.91853104688797e-08,6.559678943991632e-10,0.0009629629584897615,3.332451381969463e-08,0.05028541516660632,0.00048586881948556044,0.05124837812509608,0.00048590214399938015,0.09424837812509607,0.0006734936310291285
56234.13251903491,353329.4752055899,1.2999999966041215e-09,3.373631151130055e-14,6.797326043607931e-08,5.680341112319275e-10,6.927326043268343e-08,5.680678475434388e-10,0.0009629629604474975,2.4989860378741147e-08,0.050350563285984674,0.00042076600831994634,0.05131352624643217,0.0004207909981803251,0.09431352624643216,0.0006709482666258828
74989.42093324558,471172.42780167394,1.2999999980903558e-09,2.529866489507406e-14,6.804942188589031e-08,4.919186227679313e-10,6.934942188398067e-08,4.919439214328263e-10,0.0009629629615484118,1.8739751774128935e-08,0.050406979174733565,0.00036438416501328243,0.05136994213628198,0.00036440290476505655,0.09436994213628197,0.0006979929836486417
100000.0,628318.5307179586,1.2999999989261275e-09,1.8971322413455773e-14,6.811537501990884e-08,4.259999968895835e-10,6.941537501883497e-08,4.2601896821199695e-10,0.000962962962167502,1.4052831417374647e-08,0.050455833348080625,0.00031555555325154334,0.05141879631024813,0.0003155696060829607,0.09441879631024813,0.0007604191258312753
133352.1432163324,837876.2269377676,1.2999999993961185e-09,1.422648486542223e-14,6.817248808345581e-08,3.6891280909074557e-10,6.947248808285193e-08,3.68927035575611e-10,0.0009629629625156434,1.05381369373498e-08,0.05049813932107838,0.00027326874747462637,0.051461102283594025,0.0002732792856115637,0.09446110228359403,0.0008664956542835031
177827.94100389228,1117325.9061216542,1.2999999996604122e-09,1.0668358638371872e-14,6.822194595971124e-08,3.1947433784136965e-10,6.952194595937165e-08,3.19485006200008e-10,0.0009629629627114165,7.902487880275462e-09,0.050534774784971294,0.00023664765766027383,0.05149773774768271,0.0002366555601481541,0.0944977377476827,0.0010277223016822853
237137.37056616554,1489978.0425245322,1.2999999998090345e-09,8.00014037385565e-15,6.826477471690683e-08,2.766601331472505e-10,6.956477471671587e-08,2.7666813328762436e-10,0.000962962962821507,5.926029906559741e-09,0.05056649979030136,0.0002049334319609263,0.05152946275312287,0.00020493935799083287,0.09452946275312286,0.0012598438120982017
