frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
100.0,628.3185307179587,interfacial,paper,0.0,0.0,0.043,4.4484951974831477e-07,0.0,3.892433297797754e-08
133.3521432163324,837.8762269377677,interfacial,paper,0.0,0.0,0.043,5.932163686719396e-07,0.0,5.190643225879471e-08
177.82794100389228,1117.3259061216545,interfacial,paper,0.0,0.0,0.043,7.910667415341314e-07,0.0,6.92183398842365e-08
237.13737056616552,1489.978042524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073687e-06,0.0,9.230413973439476e-08
316.227766016838,1986.9176531592204,interfacial,paper,0.0,0.0,0.043,1.406737698436728e-06,0.0,1.230895486132137e-07
421.6965034285823,2649.597274431474,interfacial,paper,0.0,0.0,0.043,1.8759148702974837e-06,0.0,1.6414255115102981e-07
562.341325190349,3533.2947520558987,interfacial,paper,0.0,0.0,0.043,2.5015726844555766e-06,0.0,2.1888760988986294e-07
749.8942093324558,4711.72427801674,interfacial,paper,0.0,0.0,0.043,3.335900788835852e-06,0.0,2.9189131902313704e-07
1000.0,6283.185307179586,interfacial,paper,0.0,0.0,0.043,4.448495197483147e-06,0.0,3.8924332977977537e-07
1333.521432163324,8378.762269377678,interfacial,paper,0.0,0.0,0.043,5.932163686719396e-06,0.0,5.190643225879472e-07
1778.2794100389228,11173.259061216542,interfacial,paper,0.0,0.0,0.043,7.910667415341311e-06,0.0,6.921833988423648e-07
2371.373705661655,14899.78042524532,interfacial,paper,0.0,0.0,0.043,1.0549044541073688e-05,0.0,9.230413973439477e-07
3162.2776601683795,19869.1765315922,interfacial,paper,0.0,0.0,0.043,1.4067376984367277e-05,0.0,1.2308954861321368e-06
4216.965034285822,26495.97274431474,interfacial,paper,0.0,0.0,0.043,1.8759148702974834e-05,0.0,1.6414255115102981e-06
5623.413251903491,35332.94752055899,interfacial,paper,0.0,0.0,0.043,2.501572684455577e-05,0.0,2.1888760988986298e-06
7498.942093324558,47117.24278016739,interfacial,paper,0.0,0.0,0.043,3.3359007888358515e-05,0.0,2.91891319023137e-06
10000.0,62831.85307179586,interfacial,paper,0.0,0.0,0.043,4.448495197483147e-05,0.0,3.892433297797754e-06
13335.21432163324,83787.62269377676,interfacial,paper,0.0,0.0,0.043,5.9321636867193954e-05,0.0,5.19064322587947e-06
17782.794100389227,111732.5906121654,interfacial,paper,0.0,0.0,0.043,7.91066741534131e-05,0.0,6.9218339884236465e-06
23713.737056616552,148997.8042524532,interfacial,paper,0.0,0.0,0.043,0.00010549044541073688,0.0,9.230413973439477e-06
31622.776601683792,198691.765315922,interfacial,paper,0.0,0.0,0.043,0.0001406737698436728,0.0,1.230895486132137e-05
42169.65034285822,264959.7274431474,interfacial,paper,0.0,0.0,0.043,0.00018759148702974837,0.0,1.6414255115102982e-05
56234.13251903491,353329.4752055899,interfacial,paper,0.0,0.0,0.043,0.00025015726844555765,0.0,2.1888760988986294e-05
74989.42093324558,471172.42780167394,interfacial,paper,0.0,0.0,0.043,0.0003335900788835852,0.0,2.9189131902313702e-05
100000.0,628318.5307179586,interfacial,paper,0.0,0.0,0.043,0.0004448495197483147,0.0,3.8924332977977536e-05
133352.1432163324,837876.2269377676,interfacial,paper,0.0,0.0,0.043,0.0005932163686719395,0.0,5.1906432258794704e-05
177827.94100389228,1117325.9061216542,interfacial,paper,0.0,0.0,0.043,0.0007910667415341312,0.0,6.921833988423648e-05
