frame,frequency_hz,mechanism,water_sigma_real_s_m,water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
11,100.0,grain,0.013001079708225506,1.3154612106210832e-11,1e-08,0.0
11,1000.0,grain,0.013001079708225666,1.3154612108143944e-12,1e-08,0.0
11,10000.0,grain,0.013001079708225666,1.3154612108163276e-13,1e-08,0.0
11,1.0,all,0.01300107970662298,5.763954455666269e-09,1e-08,4.726526147325844e-10
11,2.5,all,0.013001079707969236,1.1647422353065726e-08,1e-08,1.1816315368314611e-09
11,10.0,all,0.01300107970820964,4.461649809396048e-08,1e-08,4.7265261473258444e-09
11,100.0,all,0.013001079708225506,4.44862674360421e-07,1e-08,4.7265261473258444e-08
11,1000.0,all,0.013001079708225666,4.448496512944358e-06,1e-08,4.726526147325844e-07
11,10000.0,all,0.013001079708225666,4.44849521063776e-05,1e-08,4.726526147325844e-06
12,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
12,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
12,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
12,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
12,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
12,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
12,1.0,grain,0.013001099350276902,1.5242157641593611e-09,1e-08,0.0
12,2.5,grain,0.013001099352052055,6.096872901424132e-10,1e-08,0.0
12,10.0,grain,0.013001099352369047,1.5242186648562753e-10,1e-08,0.0
12,100.0,grain,0.013001099352389968,1.5242186938633e-11,1e-08,0.0
12,1000.0,grain,0.013001099352390178,1.5242186941533705e-12,1e-08,0.0
12,10000.0,grain,0.01300109935239018,1.5242186941562711e-13,1e-08,0.0
12,1.0,all,0.013001099350276902,5.972710961642508e-09,1e-08,4.726526147325844e-10
12,2.5,all,0.013001099352052055,1.1730925283850283e-08,1e-08,1.1816315368314611e-09
12,10.0,all,0.013001099352369047,4.4637373841317104e-08,1e-08,4.7265261473258444e-09
12,100.0,all,0.013001099352389968,4.4486476193525343e-07,1e-08,4.7265261473258444e-08
12,1000.0,all,0.013001099352390178,4.448496721701841e-06,1e-08,4.726526147325844e-07
12,10000.0,all,0.01300109935239018,4.448495212725335e-05,1e-08,4.726526147325844e-06
13,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
13,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
13,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
13,100.0,maxwell,0.013,4.4484951974831477e-07,1e-08,4.7265261473258444e-08
13,1000.0,maxwell,0.013,4.448495197483147e-06,1e-08,4.726526147325844e-07
13,10000.0,maxwell,0.013,4.448495197483148e-05,1e-08,4.726526147325844e-06
13,1.0,grain,0.013001060110553199,1.6266304319454327e-09,1e-08,0.0
13,2.5,grain,0.01300106011264975,6.506534595557289e-10,1e-08,0.0
13,10.0,grain,0.013001060113024135,1.6266342233449272e-10,1e-08,0.0
13,100.0,grain,0.013001060113048845,1.6266342612590113e-11,1e-08,0.0
13,1000.0,grain,0.013001060113049093,1.6266342616381525e-12,1e-08,0.0
13,10000.0,grain,0.013001060113049094,1.6266342616419438e-13,1e-08,0.0
13,1.0,all,0.013001060110553199,6.07512562942858e-09,1e-08,4.726526147325844e-10
13,2.5,all,0.01300106011264975,1.1771891453263599e-08,1e-08,1.1816315368314611e-09
13,10.0,all,0.013001060113024135,4.464761539716597e-08,1e-08,4.7265261473258444e-09
13,100.0,all,0.013001060113048845,4.4486578609092735e-07,1e-08,4.7265261473258444e-08
13,1000.0,all,0.013001060113049093,4.448496824117408e-06,1e-08,4.726526147325844e-07
13,10000.0,all,0.013001060113049094,4.448495213749491e-05,1e-08,4.726526147325844e-06
14,1.0,maxwell,0.013,4.448495197483147e-09,1e-08,4.726526147325844e-10
14,2.5,maxwell,0.013,1.112123799370787e-08,1e-08,1.1816315368314611e-09
14,10.0,maxwell,0.013,4.448495197483148e-08,1e-08,4.7265261473258444e-09
