figure_context,data_source,frequency_hz,real_conductivity_s_m,imaginary_conductivity_s_m,real_relative_permittivity,iterations,relative_residual_norm,imaginary_relative_permittivity
figure8_experiment,paper_experiment,35898725.3948,,0.0394602583460536,19.77779999999999,,,
figure8_experiment,paper_experiment,41093843.086,,0.0444550080906045,19.464399999999994,,,
figure8_experiment,paper_experiment,46288960.7772,,0.049523471344948,19.249999999999996,,,
figure8_experiment,paper_experiment,51484078.4683,,0.0546827290108225,19.11060000000001,,,
figure8_experiment,paper_experiment,56679196.1595,,0.059854416000356,19.000699999999984,,,
figure8_experiment,paper_experiment,61874313.8507,,0.0650606464440437,18.919299999999996,,,
figure8_experiment,paper_experiment,67069431.5418,,0.0702030968196591,18.833399999999997,,,
figure8_experiment,paper_experiment,72264549.233,,0.0753995636842763,18.773299999999995,,,
figure8_experiment,paper_experiment,77459666.9241,,0.0805768228839403,18.716800000000013,,,
figure8_experiment,paper_experiment,93235280.6822,,0.0960322724394403,18.5325,,,
figure8_experiment,paper_experiment,109010894.4403,,0.111467472344651,18.39820000000001,,,
figure8_experiment,paper_experiment,124786508.1984,,0.127111728080982,18.32800000000006,,,
figure8_experiment,paper_experiment,140562121.9565,,0.143081302394534,18.31519999999997,,,
figure8_experiment,paper_experiment,156337735.7145,,0.15915007635667,18.316400000000037,,,
figure8_experiment,paper_experiment,172113349.4726,,0.175172169433596,18.31250000000003,,,
figure8_experiment,paper_experiment,187888963.2307,,0.190945157816519,18.285400000000017,,,
figure8_experiment,paper_experiment,203664576.9888,,0.206113716805605,18.20909999999999,,,
figure8_experiment,paper_experiment,219440190.7469,,0.221602172560588,18.169999999999998,,,
figure8_experiment,paper_experiment,235215804.5049,,0.23771623130275,18.183999999999976,,,
figure8_experiment,paper_experiment,283120395.7459,,0.286572226167527,18.21209999999999,,,
figure8_experiment,paper_experiment,331024986.9869,,0.333743598876752,18.14049999999999,,,
figure8_experiment,paper_experiment,378929578.2279,,0.38302933753121,18.187400000000004,,,
figure8_experiment,paper_experiment,426834169.4689,,0.430313539445587,18.1394,,,
figure8_experiment,paper_experiment,474738760.71,,0.47940809490334,18.169700000000006,,,
figure8_experiment,paper_experiment,522643351.951,,0.527211620697398,18.149999999999995,,,
figure8_experiment,paper_experiment,570547943.192,,0.575652258279329,18.153699999999994,,,
figure8_experiment,paper_experiment,618452534.433,,0.624301645879686,18.162899999999997,,,
figure8_experiment,paper_experiment,666357125.674,,0.672129704687516,18.148600000000005,,,
figure8_experiment,paper_experiment,714261716.915,,0.721274990715471,18.16939999999999,,,
figure8_experiment,paper_experiment,859729899.463,,0.867660244589902,18.158700000000003,,,
figure8_simulation_all,paper_simulation,10000000000.0,,6.66342783,11.989326406131923,,,
figure8_simulation_all,paper_simulation,4641588833.61277,,3.10728145,12.04511667849254,,,
figure8_simulation_all,paper_simulation,2154434690.03189,,1.44533372,12.0706841836626,,,
figure8_simulation_all,paper_simulation,1000000000.0,,0.671867847,12.088737396091977,,,
figure8_simulation_all,paper_simulation,464158883.361277,,0.314546883,12.193146863445994,,,
figure8_simulation_all,paper_simulation,215443469.003189,,0.147296533,12.301449184977404,,,
figure8_simulation_all,paper_simulation,100000000.0,,0.0698156357,12.561739483248767,,,
figure8_simulation_all,paper_simulation,46415888.3361277,,0.0325563885,12.620211732440032,,,
figure8_simulation_all,paper_simulation,21544346.9003189,,0.0160196405,13.378780176201163,,,
figure8_simulation_all,paper_simulation,10000000.0,,0.00758302351,13.643930170211235,,,
figure8_simulation_all,paper_simulation,4641588.83361277,,0.00374123687,14.502591846331859,,,
figure8_simulation_all,paper_simulation,2154434.69003189,,0.00184685574,15.423989672312139,,,
figure8_simulation_all,paper_simulation,1000000.0,,0.000943766208,16.980931447695127,,,
figure8_simulation_all,paper_simulation,464158.883361278,,0.000512443599,19.8644475578536,,,
figure8_simulation_all,paper_simulation,215443.469003188,,0.000289750926,24.19850773058701,,,
figure8_simulation_all,paper_simulation,100000.0,,0.000188495993,33.915576846953826,,,
figure8_simulation_all,paper_simulation,46415.8883361278,,0.000119983932,46.51076781230461,,,
figure8_simulation_all,paper_simulation,21544.3469003188,,8.21108188e-05,68.57473454620225,,,
figure8_simulation_all,paper_simulation,10000.0,,5.94759149e-05,107.01341340098601,,,
