frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
0.4216965034285822,2.649597274431474,4.185371453698395e-10,4.924316693864438e-10,1.515790453758078e-08,8.89047348048709e-09,1.557644168295062e-08,9.382905149873533e-09,0.00031002751508877,0.0003647641995455139,0.011228077435245024,0.006585535911471919,0.011538104950333793,0.006950300111017433,0.05453810495033379,0.006950301986932303
0.5623413251903491,3.533294752055899,5.444263886122484e-10,5.113034903711854e-10,1.6924599554010114e-08,9.362261205486658e-09,1.7469025942622363e-08,9.873564695857843e-09,0.0004032788063794433,0.0003787433262008781,0.012536740410377863,0.006935008300360488,0.012940019216757307,0.007313751626561366,0.0559400192167573,0.00731375412813405
0.7498942093324559,4.71172427801674,6.706774764960175e-10,5.067355425736136e-10,1.8784155467923385e-08,9.771312279045534e-09,1.9454832944419403e-08,1.0278047821619148e-08,0.0004967981307377907,0.00037535966116563973,0.013914189235498805,0.007238009095589285,0.014410987366236595,0.007613368756754925,0.05741098736623659,0.007613372092655714
1.0,6.283185307179586,7.885203706882081e-10,4.820638397836267e-10,2.0715885735091043e-08,1.0112144446981001e-08,2.150440610577925e-08,1.0594208286764628e-08,0.0005840891634727468,0.00035708432576564945,0.015345100544511884,0.007490477368134076,0.01592918970798463,0.007847561693899725,0.05892918970798462,0.007847566142394923
1.333521432163324,8.378762269377676,8.922984941756749e-10,4.432449432172685e-10,2.2698014773362912e-08,1.038580652267929e-08,2.3590313267538588e-08,1.0829051465896558e-08,0.0006609618475375371,0.00032832958756834704,0.016813344276565122,0.007693190016799474,0.017474306124102657,0.008021519604367821,0.06047430612410265,0.008021525536531508
1.7782794100389228,11.173259061216543,9.798452925700582e-10,3.967548108018159e-10,2.4710741655780133e-08,1.0600012400534451e-08,2.569058694835019e-08,1.0996767211336266e-08,0.0007258113278296728,0.00029389245244578957,0.018304253078355655,0.007851861037432926,0.019030064406185328,0.008145753489878716,0.062030064406185324,0.00814576140054613
2.371373705661655,14.89978042524532,1.051718692076177e-09,3.4795624413778475e-10,2.6739289451674395e-08,1.0767765671097023e-08,2.7791008143750573e-08,1.1115721915234808e-08,0.0007790508830193903,0.0002577453660279887,0.019806881075314368,0.007976122719331128,0.020585931958333758,0.008233868085359117,0.06358593195833376,0.008233878634403658
3.1622776601683795,19.869176531592203,1.1099157166802057e-09,3.003960760231057e-10,2.8776117424011353e-08,1.0904552294171519e-08,2.988603314069156e-08,1.1204948370194625e-08,0.0008221597901334858,0.0002225156118689672,0.021315642536304708,0.008077446143830755,0.022137802326438194,0.008299961755699723,0.06513780232643819,0.008299975823076707
4.216965034285822,26.495972744314738,1.1567440327998567e-09,2.559445510149028e-10,3.0821614036800424e-08,1.1024632328464059e-08,3.197835806960028e-08,1.1280576879478962e-08,0.0008568474317035976,0.0001895885563073354,0.02283082521244476,0.008166394317380785,0.023687672644148356,0.00835598287368812,0.06668767264414835,0.008356001632836823
5.623413251903491,35.332947520558996,1.1941917102085152e-09,2.1535812048231802e-10,3.288296063352762e-08,1.1137231823059258e-08,3.407715234373613e-08,1.1352589943541576e-08,0.0008845864520063076,0.00015952453369060595,0.024357748617427864,0.008249801350414266,0.02524233506943417,0.008409325884104871,0.06824233506943417,0.008409350899831716
