frequency_hz,omega_rad_s,pore_conductance_real_s,pore_conductance_imag_s,membrane_conductance_real_s,membrane_conductance_imag_s,total_conductance_real_s,total_conductance_imag_s,delta_sigma_pore_real_s_m,delta_sigma_pore_imag_s_m,delta_sigma_membrane_real_s_m,delta_sigma_membrane_imag_s_m,delta_sigma_total_real_s_m,delta_sigma_total_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m
316.22776601683796,1986.9176531592204,1.2993420981593904e-09,8.711857328472554e-12,,,1.2993420981593904e-09,8.711857328472554e-12,0.0009624756282662152,6.453227650720411e-06,,,0.0009624756282662152,6.453227650720411e-06,0.04396247562826621,7.859965349157139e-06
421.6965034285823,2649.597274431474,1.2995921382277034e-09,6.600154228603502e-12,,,1.2995921382277034e-09,6.600154228603502e-12,0.0009626608431316322,4.889003132298891e-06,,,0.0009626608431316322,4.889003132298891e-06,0.04396266084313163,6.764918002596375e-06
562.341325190349,3533.2947520558987,1.2997517753638279e-09,4.987644788931022e-12,,,1.2997517753638279e-09,4.987644788931022e-12,0.0009627790928620948,3.694551695504461e-06,,,0.0009627790928620948,3.694551695504461e-06,0.04396277909286209,6.196124379960038e-06
749.8942093324558,4711.72427801674,1.2998514454857574e-09,3.760971363994803e-12,,,1.2998514454857574e-09,3.760971363994803e-12,0.0009628529225820426,2.7859047140702248e-06,,,0.0009628529225820426,2.7859047140702248e-06,0.04396285292258204,6.1218055029060765e-06
1000.0,6283.185307179586,1.2999123852240167e-09,2.8311924431437564e-12,,,1.2999123852240167e-09,2.8311924431437564e-12,0.0009628980631289013,2.097179587513894e-06,,,0.0009628980631289013,2.097179587513894e-06,0.0439628980631289,6.545674784997041e-06
1333.521432163324,8378.762269377678,1.2999489804840422e-09,2.128578020367631e-12,,,1.2999489804840422e-09,2.128578020367631e-12,0.0009629251707289202,1.5767244595315786e-06,,,0.0009629251707289202,1.5767244595315786e-06,0.04396292517072892,7.508888146250974e-06
1778.2794100389228,11173.259061216542,1.299970608808951e-09,1.5988715578495164e-12,,,1.299970608808951e-09,1.5988715578495164e-12,0.0009629411917103341,1.1843493021107529e-06,,,0.0009629411917103341,1.1843493021107529e-06,0.043962941191710334,9.095016717452064e-06
2371.373705661655,14899.78042524532,1.2999832103504495e-09,1.2002283001136324e-12,,,1.2999832103504495e-09,1.2002283001136324e-12,0.0009629505261855182,8.890580000841722e-07,,,0.0009629505261855182,8.890580000841722e-07,0.04396295052618551,1.1438102541157861e-05
3162.2776601683795,19869.176531592202,1.2999904661909313e-09,9.006057017221166e-13,,,1.2999904661909313e-09,9.006057017221166e-13,0.0009629559008821714,6.671153346089753e-07,,,0.0009629559008821714,6.671153346089753e-07,0.043962955900882165,1.4734492318976254e-05
4216.965034285822,26495.97274431474,1.2999946075286236e-09,6.756060833898387e-13,,,1.2999946075286236e-09,6.756060833898387e-13,0.0009629589685397213,5.004489506591399e-07,,,0.0009629589685397213,5.004489506591399e-07,0.04396295896853972,1.9259597653633973e-05
5623.413251903491,35332.94752055899,1.299996957315828e-09,5.067399882935959e-13,,,1.299996957315828e-09,5.067399882935959e-13,0.0009629607091228357,3.7536295429155257e-07,,,0.0009629607091228357,3.7536295429155257e-07,0.04396296070912283,2.539108979884732e-05
7498.942093324558,47117.24278016739,1.2999982856473195e-09,3.8004714193469247e-13,,,1.2999982856473195e-09,3.8004714193469247e-13,0.0009629616930720886,2.8151640143310554e-07,,,0.0009629616930720886,2.8151640143310554e-07,0.04396296169307209,3.364052428979162e-05
10000.0,62831.853071795864,1.2999990348828625e-09,2.850146143821129e-13,,,1.2999990348828625e-09,2.850146143821129e-13,0.0009629622480613797,2.111219365793429e-07,,,0.0009629622480613797,2.111219365793429e-07,0.04396296224806138,4.469607391141082e-05
13335.21432163324,83787.62269377676,1.2999994569351553e-09,2.1373905690109665e-13,,,1.2999994569351553e-09,2.1373905690109665e-13,0.0009629625606927077,1.5832522733414567e-07,,,0.0009629625606927077,1.5832522733414567e-07,0.0439629625606927,5.94799620945281e-05
17782.794100389227,111732.59061216541,1.2999996945043447e-09,1.602851689100285e-13,,,1.2999996945043447e-09,1.602851689100285e-13,0.0009629627366698851,1.1872975474816927e-07,,,0.0009629627366698851,1.1872975474816927e-07,0.04396296273666988,7.922540390816129e-05
23713.737056616552,148997.8042524532,1.2999998281729803e-09,1.2019839312351503e-13,,,1.2999998281729803e-09,1.2019839312351503e-13,0.0009629628356836892,8.903584675815929e-08,,,0.0009629628356836892,8.903584675815929e-08,0.04396296283568368,0.00010557948125749504
31622.776601683792,198691.765315922,1.29999990336374e-09,9.013670073188327e-14,,,1.29999990336374e-09,9.013670073188327e-14,0.0009629628913805482,6.676792646806169e-08,,,0.0009629628913805482,6.676792646806169e-08,0.04396296289138055,0.00014074053777014085
42169.65034285822,264959.7274431474,1.2999999456540115e-09,6.759325225072823e-14,,,1.2999999456540115e-09,6.759325225072823e-14,0.0009629629227066752,5.006907574128017e-08,,,0.0009629629227066752,5.006907574128017e-08,0.04396296292270667,0.00018764155610548965
56234.13251903491,353329.4752055899,1.299999969437921e-09,5.0687899104699364e-14,,,1.299999969437921e-09,5.0687899104699364e-14,0.000962962940324386,3.754659192940694e-08,,,0.000962962940324386,3.754659192940694e-08,0.04396296294032438,0.00025019481503748707
74989.42093324558,471172.42780167394,1.2999999828133372e-09,3.801060869073071e-14,,,1.2999999828133372e-09,3.801060869073071e-14,0.0009629629502321017,2.8156006437578305e-08,,,0.0009629629502321017,2.8156006437578305e-08,0.043962962950232096,0.0003336182348900228
100000.0,628318.5307179586,1.2999999903351209e-09,2.850395503223332e-14,,,1.2999999903351209e-09,2.850395503223332e-14,0.0009629629558037932,2.111404076461728e-08,,,0.0009629629558037932,2.111404076461728e-08,0.04396296295580379,0.0004448706337890793
133352.1432163324,837876.2269377676,1.2999999945650049e-09,2.1374959121926775e-14,,,1.2999999945650049e-09,2.1374959121926775e-14,0.0009629629589370407,1.5833303053279095e-08,,,0.0009629629589370407,1.5833303053279095e-08,0.043962962958937035,0.0005932322019749928
177827.94100389228,1117325.9061216542,1.299999996943667e-09,1.602896157050686e-14,,,1.299999996943667e-09,1.602896157050686e-14,0.0009629629606990126,1.187330486704212e-08,,,0.0009629629606990126,1.187330486704212e-08,0.04396296296069901,0.0007910786148389983
237137.37056616554,1489978.0425245322,1.2999999982812943e-09,1.2020026939404565e-14,,,1.2999999982812943e-09,1.2020026939404565e-14,0.0009629629616898477,8.903723658818197e-09,,,0.0009629629616898477,8.903723658818197e-09,0.04396296296168985,0.0010549133578310276
316227.7660168379,1986917.65315922,1.2999999990335e-09,9.013749220338268e-15,,,1.2999999990335e-09,9.013749220338268e-15,0.000962962962247037,6.6768512743246436e-09,,,0.000962962962247037,6.6768512743246436e-09,0.04396296296224703,0.0014067443752880022
421696.5034285823,2649597.274431474,1.2999999994564965e-09,6.759358607196554e-15,,,1.2999999994564965e-09,6.759358607196554e-15,0.0009629629625603678,5.006932301627077e-09,,,0.0009629629625603678,5.006932301627077e-09,0.043962962962560366,0.0018759198772297853
562341.3251903491,3533294.7520558992,1.2999999996943657e-09,5.068803989029594e-15,,,1.2999999996943657e-09,5.068803989029594e-15,0.0009629629627365673,3.754669621503403e-09,,,0.0009629629627365673,3.754669621503403e-09,0.043962962962736565,0.0025015764391251986
749894.2093324559,4711724.2780167395,1.2999999998281293e-09,3.801066806292797e-15,,,1.2999999998281293e-09,3.801066806292797e-15,0.0009629629628356514,2.8156050416983683e-09,,,0.0009629629628356514,2.8156050416983683e-09,0.043962962962835646,0.0033359036044408935
1000000.0,6283185.307179586,1.2999999999033502e-09,2.8503980070088535e-15,,,1.2999999999033502e-09,2.8503980070088535e-15,0.0009629629628913706,2.1114059311176696e-09,,,0.0009629629628913706,2.1114059311176696e-09,0.043962962962891365,0.004448497308889078
