frequency_hz,omega_rad_s,component,component_mode,delta_sigma_component_real_s_m,delta_sigma_component_imag_s_m,apparent_water_sigma_real_s_m,apparent_water_sigma_imag_s_m,solid_sigma_real_s_m,solid_sigma_imag_s_m
421.6965034285823,2649.597274431474,all,paper,0.0464254847554849,0.0045475031692024,0.0894254847554849,0.004549379084072698,0.0,1.6414255115102981e-07
562.341325190349,3533.2947520558987,all,paper,0.0471945609159453,0.0040773570880262,0.0901945609159453,0.004079858660710656,0.0,2.1888760988986294e-07
749.8942093324558,4711.72427801674,all,paper,0.0478686854130581,0.0036195605109861,0.09086868541305809,0.003622896411774936,0.0,2.9189131902313704e-07
1000.0,6283.185307179586,all,paper,0.0484482133509936,0.0031813762809849,0.0914482133509936,0.003185824776182383,0.0,3.8924332977977537e-07
1333.521432163324,8378.762269377678,all,paper,0.0489376758520981,0.0027718886836363,0.0919376758520981,0.0027778208473230193,0.0,5.190643225879472e-07
1778.2794100389228,11173.259061216542,all,paper,0.0493456953365771,0.0023990124465301,0.0923456953365771,0.0024069231139454412,0.0,6.921833988423648e-07
2371.373705661655,14899.78042524532,all,paper,0.049683595426488,0.0020681376327451,0.09268359542648799,0.002078686677286174,0.0,9.230413973439477e-07
3162.2776601683795,19869.1765315922,all,paper,0.049964370303054,0.0017814391597555,0.09296437030305399,0.0017955065367398673,0.0,1.2308954861321368e-06
4216.965034285822,26495.97274431474,all,paper,0.0502011559735981,0.0015370364767845,0.0932011559735981,0.0015557956254874748,0.0,1.6414255115102981e-06
5623.413251903491,35332.94752055899,all,paper,0.0504047444448909,0.0013293320405095,0.0934047444448909,0.0013543477673540558,0.0,2.1888760988986298e-06
7498.942093324558,47117.24278016739,all,paper,0.0505819218878499,0.0011513614776675,0.09358192188784989,0.0011847204855558585,0.0,2.91891319023137e-06
10000.0,62831.85307179586,all,paper,0.0507362346947937,0.0009974358240142,0.0937362346947937,0.0010419207759890315,0.0,3.892433297797754e-06
13335.21432163324,83787.62269377676,all,paper,0.0508700893324688,0.0008638820800289,0.09387008933246879,0.000923203716896094,0.0,5.19064322587947e-06
17782.794100389227,111732.5906121654,all,paper,0.0509859547121601,0.0007481286626715,0.09398595471216009,0.0008272353368249131,0.0,6.9218339884236465e-06
23713.737056616552,148997.8042524532,all,paper,0.0510862695303014,0.0006478915594176,0.09408626953030139,0.0007533820048283369,0.0,9.230413973439477e-06
31622.776601683792,198691.765315922,all,paper,0.0511731454458623,0.0005610843369258,0.0941731454458623,0.0007017581067694727,0.0,1.230895486132137e-05
42169.65034285822,264959.7274431474,all,paper,0.051248378125096,0.0004859021439993,0.094248378125096,0.0006734936310290483,0.0,1.6414255115102982e-05
56234.13251903491,353329.4752055899,all,paper,0.0513135262464321,0.0004207909981803,0.0943135262464321,0.0006709482666258577,0.0,2.1888760988986294e-05
74989.42093324558,471172.42780167394,all,paper,0.0513699421362819,0.000364402904765,0.09436994213628189,0.0006979929836485853,0.0,2.9189131902313702e-05
100000.0,628318.5307179586,all,paper,0.0514187963102481,0.0003155696060829,0.0944187963102481,0.0007604191258312146,0.0,3.8924332977977536e-05
133352.1432163324,837876.2269377676,all,paper,0.051461102283594,0.0002732792856115,0.094461102283594,0.0008664956542834395,0.0,5.1906432258794704e-05
177827.94100389228,1117325.9061216542,all,paper,0.0514977377476827,0.0002366555601481,0.09449773774768269,0.0010277223016822313,0.0,6.921833988423648e-05
237137.37056616557,1489978.0425245322,all,paper,0.0515294627531228,0.0002049393579908,0.0945294627531228,0.0012598438120981687,0.0,9.230413973439478e-05
316227.7660168379,1986917.65315922,all,paper,0.0515569354763529,0.0001774732366357,0.0945569354763529,0.0015842109350724279,0.0,0.0001230895486132137
421696.5034285823,2649597.274431474,all,paper,0.0515807258747729,0.0001536877891496,0.0945807258747729,0.0020296026594470835,0.0,0.00016414255115102983
562341.3251903491,3533294.7520558992,all,paper,0.0516013275111989,0.0001330898655482,0.0946013275111989,0.0026346625500037768,0.0,0.00021888760988986297
749894.2093324559,4711724.27801674,all,paper,0.0516191677934488,0.0001152523676205,0.0946191677934488,0.0034511531564563524,0.0,0.0002918913190231371
1000000.0,6283185.307179586,all,paper,0.0516346168414626,9.980540761691384e-05,0.0946346168414626,0.004548300605100061,0.0,0.0003892433297797754
1333521.432163324,8378762.269377677,all,paper,0.0516479951659163,8.64286489912244e-05,0.0946479951659163,0.00601859233571062,0.0,0.0005190643225879471
1778279.410038923,11173259.061216542,all,paper,0.0516595803176278,7.484467151163904e-05,0.0946595803176278,0.007985512086852952,0.0,0.0006921833988423648
2371373.7056616554,14899780.425245322,all,paper,0.0516696126457095,6.481322399731038e-05,0.0946696126457095,0.010613857765070999,0.0,0.0009230413973439478
3162277.6601683795,19869176.5315922,all,paper,0.0516783002839207,5.6126246129928976e-05,0.0946783002839207,0.014123503230497209,0.0,0.001230895486132137
4216965.034285823,26495972.74431474,all,paper,0.0516858234686736,4.860355657228129e-05,0.0946858234686736,0.01880775225954712,0.0,0.0016414255115102983
5623413.251903491,35332947.52055899,all,paper,0.051692338278273,4.208911832193165e-05,0.094692338278273,0.0250578159628777,0.0,0.0021888760988986295
7498942.093324558,47117242.78016739,all,paper,0.0516979798709627,3.644780410766322e-05,0.0946979798709627,0.03339545569246618,0.0,0.00291891319023137
10000000.0,62831853.071795866,all,paper,0.0517028652889608,3.156259493840904e-05,0.0947028652889608,0.044516514569769884,0.0,0.003892433297797754
13335214.32163324,83787622.69377677,all,paper,0.0517070958866541,2.733215384675463e-05,0.0947070958866541,0.05934896902104071,0.0,0.005190643225879471
17782794.100389227,111732590.61216542,all,paper,0.0517107594333232,2.3668724612528272e-05,0.09471075943332319,0.07913034287802564,0.0,0.006921833988423648
23713737.056616552,148997804.2524532,all,paper,0.0517139319340365,2.0496311963779985e-05,0.09471393193403649,0.10551094172270066,0.0,0.009230413973439476
31622776.60168379,198691765.315922,all,paper,0.0517166792064706,1.7749105569303163e-05,0.09471667920647059,0.1406915189492421,0.0,0.012308954861321369
42169650.34285823,264959727.4431474,all,paper,0.051719058246385,1.5370115177557846e-05,0.09471905824638499,0.18760685714492592,0.0,0.016414255115102982
56234132.51903491,353329475.2055899,all,paper,0.051721118410075,1.3309988624558876e-05,0.094721118410075,0.25017057843418217,0.0,0.021888760988986296
74989420.93324558,471172427.801674,all,paper,0.0517229024383309,1.1525988217548008e-05,0.0947229024383309,0.3336016048718028,0.0,0.029189131902313706
100000000.0,628318530.7179586,all,paper,0.0517244473431525,9.981104279781704e-06,0.0947244473431525,0.4448595008525945,0.0,0.03892433297797754
133352143.2163324,837876226.9377677,all,paper,0.051725785175611,8.643287481952626e-06,0.094725785175611,0.5932250119594216,0.0,0.05190643225879472
177827941.00389227,1117325906.1216545,all,paper,0.0517269436907909,7.4847840460991645e-06,0.0947269436907909,0.7910742263181776,0.0,0.06921833988423651
237137370.56616557,1489978042.524532,all,paper,0.0517279469236047,6.481560039043043e-06,0.0947279469236047,1.0549109356674078,0.0,0.09230413973439476
316227766.01683795,1986917653.15922,all,paper,0.0517288156874294,5.612802818398679e-06,0.0947288156874294,1.4067433112395462,0.0,0.12308954861321368
421696503.4285823,2649597274.431474,all,paper,0.0517295680059071,4.860489293119512e-06,0.0947295680059071,1.875919730786777,0.0,0.16414255115102983
562341325.1903491,3533294752.055899,all,paper,0.0517302194868687,4.20901204542203e-06,0.09473021948686869,2.501576893467622,0.0,0.21888760988986297
749894209.3324559,4711724278.01674,all,paper,0.0517307836461384,3.64485556037711e-06,0.0947307836461384,3.3359044336914123,0.0,0.29189131902313703
1000000000.0,6283185307.179586,all,paper,0.0517312721879388,3.156315848287685e-06,0.0947312721879388,4.448498353798996,0.0,0.3892433297797754
